request_num, curr_time,time_total, time_namelookup, time_connect, time_appconnect, time_pretransfer, time_redirect, time_starttransfer, http_code
1,0,0.010, 0.000, 0.000, 0.000, 0.000, 0.000, 0.010, 200 
2,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 200 
3,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
4,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
5,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
6,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
7,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
8,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
9,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
10,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
11,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
12,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
13,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 200 
14,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 200 
15,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
16,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
17,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
18,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
19,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
20,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
21,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
22,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
23,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
24,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
25,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
26,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
27,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
28,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
29,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
30,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
31,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
32,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
33,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
34,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
35,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
36,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
37,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
38,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
39,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
40,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 200 
41,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
42,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
43,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 200 
44,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.001, 200 
45,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
46,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
47,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
48,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
49,0,0.001, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
50,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
51,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
52,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
53,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
54,0,0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 200 
